t,x,y,theta,
0,0,0,1.083034619,-0.0097561
0.1,1,1.763355757,0.990386444,-0.02912851
0.2,2,2.853169549,0.527440001,-0.04808175
0.3,3,2.853169549,-0.527440001,-0.06633764
0.4,4,1.763355757,-0.990386444,-0.08362059
0.5,5,3.67545E-16,-1.083034619,-0.09966028
0.6,6,-1.763355757,-0.990386444,-0.11419546
0.7,7,-2.853169549,-0.527440001,-0.12697907
0.8,8,-2.853169549,0.527440001,-0.13778462
0.9,9,-1.763355757,0.990386444,-0.14641314
1,10,-7.35089E-16,1.083034619,-0.1527004
1.1,11,1.763355757,0.990386444,-0.15652354
1.2,12,2.853169549,0.527440001,-0.15780652
1.3,13,2.853169549,-0.527440001,-0.15652354
1.4,14,1.763355757,-0.990386444,-0.1527004
1.5,15,1.10263E-15,-1.083034619,-0.14641314
1.6,16,-1.763355757,-0.990386444,-0.13778462
1.7,17,-2.853169549,-0.527440001,-0.12697907
1.8,18,-2.853169549,0.527440001,-0.11419546
1.9,19,-1.763355757,0.990386444,-0.09966028
2,20,-1.47018E-15,1.083034619,-0.08362059
2.1,21,1.763355757,0.990386444,-0.06633764
2.2,22,2.853169549,0.527440001,-0.04808175
2.3,23,2.853169549,-0.527440001,-0.02912851
2.4,24,1.763355757,-0.990386444,-0.0097561
2.5,25,1.84E-15,-1.083034619,0.0097561
2.6,26,-1.763355757,-0.990386444,0.02912851
2.7,27,-2.853169549,-0.527440001,0.04808175
2.8,28,-2.853169549,0.527440001,0.06633764
2.9,29,-1.763355757,0.990386444,0.08362059
3,30,-2.20527E-15,1.083034619,0.09966028
3.1,31,1.763355757,0.990386444,0.11419546
3.2,32,2.853169549,0.527440001,0.12697907
3.3,33,2.853169549,-0.527440001,0.13778462
3.4,34,1.763355757,-0.990386444,0.14641314
3.5,35,2.57281E-15,-1.083034619,0.1527004
3.6,36,-1.763355757,-0.990386444,0.15652354
3.7,37,-2.853169549,-0.527440001,0.15780652
3.8,38,-2.853169549,0.527440001,0.15652354
3.9,39,-1.763355757,0.990386444,0.1527004
4,40,-2.94036E-15,1.083034619,0.14641314
4.1,41,1.763355757,0.990386444,0.13778462
4.2,42,2.853169549,0.527440001,0.12697907
4.3,43,2.853169549,-0.527440001,0.11419546
4.4,44,1.763355757,-0.990386444,0.09966028
4.5,45,3.3079E-15,-1.083034619,0.08362059
4.6,46,-1.763355757,-0.990386444,0.06633764
4.7,47,-2.853169549,-0.527440001,0.04808175
4.8,48,-2.853169549,0.527440001,0.02912851
4.9,49,-1.763355757,0.990386444,0.0097561
5,50,-3.68E-15,1.083034619,0.025001687
